銘柄コード,銘柄名称,商品分類,市場区分,業種,売買単位,東証上場日,東証上場廃止日
158A0,エクセリ,株式,TOKYO PRO Market,小売業,100,2024-03-19,
159A0,ＮＥＸＴ　ＦＵＮＤＳ　ＪＰＸプライム１５０指数連動型上場投信,ETF,その他,nan,10,2024-03-18,
162A0,ＡＩセレクトメガトレンド　日本株（ネットリターン）ＥＴＮ,ETN,その他,nan,1,2024-03-22,
163A0,半導体フォーカス　日本株（ネットリターン）ＥＴＮ,ETN,その他,nan,1,2024-03-22,
160A0,アズパートナーズ,株式,スタンダード,サービス業,100,2024-04-04,
161A0,三葉,株式,TOKYO PRO Market,サービス業,100,2024-03-22,
164A0,アップルパーク,株式,TOKYO PRO Market,不動産業,100,2024-03-25,
165A0,ＳＢＩレオスひふみ,株式,上場廃止,証券、商品先物取引業,100,2024-04-01,2025-11-27
166A0,タスキホールディングス,株式,プライム,不動産業,100,2024-04-01,
167A0,リョーサン菱洋ホールディングス,株式,プライム,卸売業,100,2024-04-01,
170A0,ＳＭＴ　ＥＴＦ日本好配当株アクティブ,ETF,その他,nan,1,2024-03-25,
171A0,ゼロジャパン,株式,TOKYO PRO Market,卸売業,100,2024-03-28,
172A0,ネオホーム,株式,TOKYO PRO Market,不動産業,100,2024-03-29,
168A0,イタミアート,株式,グロース,その他製品,100,2024-04-08,
173A0,ハンモック,株式,グロース,情報・通信業,100,2024-04-11,
178A0,グローバルＸ　革新的優良企業　ＥＴＦ,ETF,その他,nan,1,2024-04-10,
179A0,グローバルＸ　超長期米国債　ＥＴＦ（為替ヘッジあり）,ETF,その他,nan,10,2024-04-10,
180A0,グローバルＸ　超長期米国債　ＥＴＦ,ETF,その他,nan,10,2024-04-10,
175A0,Ｗｉｌｌ　Ｓｍａｒｔ,株式,グロース,情報・通信業,100,2024-04-16,
176A0,レジル,株式,上場廃止,電気・ガス業,100,2024-04-24,2026-01-14
177A0,コージンバイオ,株式,グロース,化学,100,2024-04-25,
181A0,ＭＡＸＩＳ米国国債１－３年上場投信（為替ヘッジなし）,ETF,その他,nan,10,2024-04-25,
182A0,ＭＡＸＩＳ米国国債２０年超上場投信（為替ヘッジなし）,ETF,その他,nan,10,2024-04-25,
183A0,ＭＡＸＩＳ米国国債２０年超上場投信（為替ヘッジあり）,ETF,その他,nan,10,2024-04-25,
188A0,グローバルＸ　インド・トップ１０＋　ＥＴＦ,ETF,その他,nan,1,2024-05-23,
184A0,学びエイド,株式,グロース,情報・通信業,100,2024-05-28,
185A0,リサイクルテック・ジャパン,株式,TOKYO PRO Market,サービス業,100,2024-05-28,
200A0,ＮＥＸＴ　ＦＵＮＤＳ　日経半導体株指数連動型上場投信,ETF,その他,nan,1,2024-06-04,
186A0,アストロスケールホールディングス,株式,グロース,サービス業,100,2024-06-05,
199A0,メディエア,株式,TOKYO PRO Market,情報・通信業,100,2024-06-07,
189A0,Ｄ＆Ｍカンパニー,株式,グロース,サービス業,100,2024-06-11,
201A0,ｉシェアーズ　Ｎｉｆｔｙ　５０　インド株　ＥＴＦ,ETF,その他,nan,10,2024-06-12,
190A0,Ｃｈｏｒｄｉａ　Ｔｈｅｒａｐｅｕｔｉｃｓ,株式,グロース,医薬品,100,2024-06-14,
191A0,ミモザ,株式,上場廃止,サービス業,100,2024-06-18,2026-07-28
192A0,インテグループ,株式,グロース,サービス業,100,2024-06-18,
195A0,ＭＵＳＣＡＴ　ＧＲＯＵＰ,株式,グロース,サービス業,100,2024-06-19,
194A0,ＷＯＬＶＥＳ　ＨＡＮＤ,株式,グロース,サービス業,100,2024-06-20,
197A0,タウンズ,株式,スタンダード,医薬品,100,2024-06-20,
198A0,ＰｏｓｔＰｒｉｍｅ,株式,グロース,情報・通信業,100,2024-06-20,
196A0,ＭＦＳ,株式,グロース,その他金融業,100,2024-06-21,
207A0,ライジングコーポレーション,株式,TOKYO PRO Market,建設業,100,2024-06-24,
210A0,ｉＦｒｅｅＥＴＦ　日経高利回りＲＥＩＴ指数,ETF,その他,nan,1,2024-06-26,
202A0,豆蔵,株式,上場廃止,情報・通信業,100,2024-06-27,2026-04-14
203A0,シュンビン,株式,TOKYO PRO Market,サービス業,100,2024-06-27,
204A0,タイヨーパッケージ,株式,TOKYO PRO Market,パルプ・紙,100,2024-06-27,
205A0,ロゴスホールディングス,株式,グロース,建設業,100,2024-06-28,
208A0,構造計画研究所ホールディングス,株式,スタンダード,情報・通信業,100,2024-07-01,
206A0,ＰＲＩＳＭ　ＢｉｏＬａｂ,株式,グロース,医薬品,100,2024-07-02,
209A0,小野谷機工,株式,TOKYO PRO Market,機械,100,2024-07-11,
213A0,上場インデックスファンド日経半導体株,ETF,その他,nan,10,2024-07-12,
217A0,サポート,株式,TOKYO PRO Market,サービス業,100,2024-07-17,
